"Startup_Name","Industry","Funding_Rounds","Investment_Amount__USD_","Valuation__USD_","Number_of_Investors","Country","Year_Founded","Growth_Rate____","Age","Year"
"Startup_1","Blockchain",8,1335165853.1,6621448041.82447,50,"Germany",2012-04-01,77.1,13,2012
"Startup_2","SaaS",2,2781498219.93,8363214103.88975,36,"UK",2006-04-01,105.52,19,2006
"Startup_3","EdTech",10,3309031930.22,15482697353.099,39,"Singapore",2016-04-01,190.47,9,2016
"Startup_4","Fintech",5,4050196269.12,12682527892.1754,44,"France",2021-04-01,9.44,4,2021
"Startup_5","EdTech",9,1645080294.64,6887965942.86522,48,"India",2011-04-01,192,14,2011
"Startup_6","EdTech",3,3939088574.84,11462969525.2973,38,"Singapore",2003-04-01,26.28,22,2003
"Startup_7","HealthTech",8,1349245127.85,2490393546.17333,24,"India",2017-04-01,104.98,8,2017
"Startup_8","Blockchain",7,4128951425.92,16303568856.2916,24,"India",2006-04-01,89.13,19,2006
"Startup_9","Blockchain",3,3950045010.91,9733266248.99732,5,"Brazil",2007-04-01,57.99,18,2007
"Startup_10","Fintech",10,4865378632.8,18692791832.2528,31,"USA",2000-04-01,31.16,25,2000
"Startup_11","HealthTech",7,2797198504.14,13826645051.8451,17,"UK",2019-04-01,33.69,6,2019
"Startup_12","E-commerce",2,1726597437.89,7608269223.78521,19,"Canada",2021-04-01,199,4,2021
"Startup_13","HealthTech",5,1818562344.1,4835268340.06729,14,"China",2000-04-01,105.73,25,2000
"Startup_14","E-commerce",7,1095961480.41,3965453491.27929,44,"Australia",2016-04-01,31.95,9,2016
"Startup_15","Blockchain",3,4195481545.25,13491122379.384,24,"India",2009-04-01,99.34,16,2009
"Startup_16","EdTech",6,3098366688.83,7743384208.76979,32,"UK",2008-04-01,142.01,17,2008
"Startup_17","SaaS",2,2545210318.74,11381431784.3641,46,"Australia",2010-04-01,164.5,15,2010
"Startup_18","Biotech",4,2695914069.44,11492050840.251,29,"Brazil",2013-04-01,25.17,12,2013
"Startup_19","E-commerce",9,3434765565.55,10200304017.1882,28,"Singapore",2021-04-01,93.38,4,2021
"Startup_20","SaaS",1,567429029.03,2805347516.82894,50,"UK",2016-04-01,115.76,9,2016
"Startup_21","Blockchain",7,3427058576.36,12358527827.8684,35,"Brazil",2001-04-01,46.26,24,2001
"Startup_22","SaaS",4,3465387849.44,5927235280.18816,45,"Singapore",2021-04-01,107.46,4,2021
"Startup_23","EdTech",9,4566754284.14,7545805565.31933,7,"Singapore",2014-04-01,69.76,11,2014
"Startup_24","AI",4,3021729517.51,5211428908.02363,2,"USA",2014-04-01,114.99,11,2014
"Startup_25","E-commerce",8,288205121.58,1415080231.45298,22,"Germany",2021-04-01,176.28,4,2021
"Startup_26","E-commerce",10,3334508349.99,5015410780.91243,1,"Brazil",2017-04-01,154.84,8,2017
"Startup_27","Biotech",2,4166499162.52,16357699018.2403,22,"Germany",2002-04-01,82.81,23,2002
"Startup_28","EdTech",5,440011615.23,1565465840.34692,9,"China",2013-04-01,146.55,12,2013
"Startup_29","E-commerce",3,3256022294.9,8096886148.44848,48,"USA",2010-04-01,99.75,15,2010
"Startup_30","SaaS",5,3026419469.15,6802919454.49774,13,"Brazil",2005-04-01,47.37,20,2005
"Startup_31","AI",9,4705042824.65,17203808326.9632,35,"Germany",2002-04-01,87.95,23,2002
"Startup_32","E-commerce",1,4294449811.39,20891484639.4121,8,"China",2019-04-01,91.51,6,2019
"Startup_33","AI",7,2867170174.15,6499884835.94113,27,"Germany",2019-04-01,83.3,6,2019
"Startup_34","EdTech",9,4374659519.73,6662238862.92545,2,"France",2016-04-01,196.58,9,2016
"Startup_35","Blockchain",6,3777513647.39,15234607026.3171,12,"Australia",2003-04-01,186.59,22,2003
"Startup_36","Blockchain",3,3647514987.49,5586375044.62825,18,"Australia",2014-04-01,13.16,11,2014
"Startup_37","AI",10,4411234804.76,11691080168.1034,50,"Canada",2011-04-01,147.11,14,2011
"Startup_38","Fintech",6,2725867165.62,4089854368.77471,19,"USA",2022-04-01,187.72,3,2022
"Startup_39","HealthTech",5,4790851851.76,22981467971.6735,20,"USA",2001-04-01,33.71,24,2001
"Startup_40","AI",1,2751786274.72,8856652982.29124,14,"India",2005-04-01,97.9,20,2005
"Startup_41","AI",5,3972168775.93,18893051079.6814,49,"Canada",2016-04-01,104.99,9,2016
"Startup_42","EdTech",9,1036222596.89,3964715622.17924,25,"Australia",2016-04-01,110.52,9,2016
"Startup_43","E-commerce",5,1638827482.93,3545351528.30568,38,"Brazil",2017-04-01,167.34,8,2017
"Startup_44","SaaS",5,2767906479.48,11784319878.46,17,"USA",2005-04-01,153.61,20,2005
"Startup_45","E-commerce",7,3480520968.8,13041915911.9349,30,"France",2010-04-01,125.65,15,2010
"Startup_46","AI",5,3254439463.31,7876334439.04974,20,"Australia",2016-04-01,147.04,9,2016
"Startup_47","Blockchain",6,4032615160.05,20078014719.0676,38,"France",2000-04-01,48.73,25,2000
"Startup_48","E-commerce",2,475269528.08,2223977127.62599,49,"Germany",2012-04-01,48.13,13,2012
"Startup_49","Biotech",2,4897855433.55,8005010523.6801,16,"France",2011-04-01,122.39,14,2011
"Startup_50","HealthTech",10,1979604878.09,8694160540.97128,4,"UK",2013-04-01,12.64,12,2013
"Startup_51","Blockchain",4,2876153119.3,5826669173.85935,18,"Australia",2001-04-01,138.19,24,2001
"Startup_52","Fintech",8,2321745880.25,6758206634.67049,32,"USA",2000-04-01,192.74,25,2000
"Startup_53","Blockchain",10,675587864.57,1229453482.53944,26,"USA",2014-04-01,139.82,11,2014
"Startup_54","E-commerce",3,1176101216.28,3251064586.1169,4,"Australia",2002-04-01,198.29,23,2002
"Startup_55","HealthTech",2,3604778899.84,16922409671.5205,3,"Germany",2018-04-01,71.9,7,2018
"Startup_56","E-commerce",7,4830737938.1,17347814945.7188,5,"Brazil",2020-04-01,92.66,5,2020
"Startup_57","SaaS",1,4360313592,9907684658.82894,37,"China",2019-04-01,160.82,6,2019
"Startup_58","HealthTech",6,2028361128.74,6102998475.3289,29,"Germany",2009-04-01,119.37,16,2009
"Startup_59","AI",2,2756855232.44,11130347512.3915,25,"Australia",2007-04-01,157,18,2007
"Startup_60","Fintech",6,820455124.6,1840836654.76423,31,"Australia",2009-04-01,57.83,16,2009
"Startup_61","AI",5,4437872047.6,6878102854.75872,22,"Singapore",2013-04-01,107.86,12,2013
"Startup_62","SaaS",8,1924235656.36,3798190442.14642,37,"UK",2010-04-01,104.21,15,2010
"Startup_63","Biotech",4,2463967074.34,5665325649.95926,44,"France",2008-04-01,53.86,17,2008
"Startup_64","E-commerce",3,4470788164.24,19418366785.3256,16,"USA",2019-04-01,58.4,6,2019
"Startup_65","AI",3,4815534280.92,20158491149.7347,45,"China",2008-04-01,25.42,17,2008
"Startup_66","AI",6,365913860.56,1672037254.11041,21,"India",2017-04-01,144.35,8,2017
"Startup_67","SaaS",6,2996659583.02,4667230455.88472,48,"Brazil",2006-04-01,62.22,19,2006
"Startup_68","AI",3,3711464088.69,11066201278.7357,15,"Canada",2013-04-01,87.42,12,2013
"Startup_69","Biotech",6,928128649.47,4634153806.23982,21,"Australia",2007-04-01,187.21,18,2007
"Startup_70","Blockchain",1,2603523861.44,9563072271.63529,19,"France",2007-04-01,107.67,18,2007
"Startup_71","HealthTech",7,3644872687.35,11926210327.4269,14,"Canada",2010-04-01,59.98,15,2010
"Startup_72","Blockchain",4,744631010.32,1620392801.41869,2,"Singapore",2008-04-01,123.34,17,2008
"Startup_73","E-commerce",8,1344780386.06,4537818813.98247,19,"Australia",2005-04-01,179.18,20,2005
"Startup_74","Fintech",3,491018020.84,1354841679.99685,20,"India",2013-04-01,165.57,12,2013
"Startup_75","Biotech",1,1582882524.88,5586959852.4532,16,"India",2020-04-01,144.16,5,2020
"Startup_76","SaaS",10,1085427021.26,4630172763.52616,18,"Australia",2016-04-01,91.33,9,2016
"Startup_77","Blockchain",7,1340475423.36,2357879218.22843,20,"Singapore",2004-04-01,81.98,21,2004
"Startup_78","HealthTech",8,4940530156.26,23772801009.3952,14,"India",2021-04-01,108.11,4,2021
"Startup_79","Fintech",8,2749898672.7,5542968257.28776,9,"Germany",2011-04-01,189.55,14,2011
"Startup_80","E-commerce",8,4533989298.71,8054285187.14806,22,"India",2005-04-01,69.71,20,2005
"Startup_81","Biotech",8,844854106.72,2590555965.71495,23,"USA",2002-04-01,69.33,23,2002
"Startup_82","HealthTech",1,3631343014.13,7772600871.78034,34,"USA",2010-04-01,28.16,15,2010
"Startup_83","EdTech",8,3689561074.31,15527195348.0444,32,"Singapore",2012-04-01,159.5,13,2012
"Startup_84","SaaS",1,1876264361.81,6903335389.09131,14,"Singapore",2023-04-01,118.95,2,2023
"Startup_85","Biotech",5,2447270415.5,8095858828.06732,27,"China",2021-04-01,129.03,4,2021
"Startup_86","Biotech",7,2407386442.25,8783700785.20548,10,"Germany",2002-04-01,182.23,23,2002
"Startup_87","HealthTech",2,4730860833.16,8195466150.18074,34,"Canada",2000-04-01,170.46,25,2000
"Startup_88","AI",3,2700679626.1,4800271506.75995,14,"Australia",2020-04-01,107,5,2020
"Startup_89","SaaS",9,1054977036.09,3208096453.80439,31,"China",2005-04-01,157.79,20,2005
"Startup_90","E-commerce",9,2701705689.18,10238979645.814,8,"Australia",2010-04-01,104.13,15,2010
